region,Latitude,longitude,population/million,area/km^2
Amran,16.15,43.92,1123651,9587
Al Mahwit,15.38,43.57,732360,2858
Al Dhale'e,13.83,44.74,602613,4786
Hajjah,16.09,43.25,1887213,10141
Sana'a,15.35,44.32,2279665,15052
Dhamar,14.6,44.17,1697067,10495
Abyan,13.68,46.09,658824,21939
Al Hudaydah,14.79,43.19,3774914,17509
Al Bayda,14.28,45.34,835683,11193
Amanat Al Asimah,15.4,44.21,1174767,126
Al Jawf,16.59,45.77,663147,30620
Raymah,14.63,43.67,502505,3442
Lahj,13.08,44.48,926291,15210
Aden,12.83,44.83,1087653,1114
Ibb,14.06,44.14,3911070,6484
Taizz,13.43,43.83,4554443,12605
Marib,15.41,45.46,504696,20023
Sa'ada,17.02,43.96,987663,15022
Al Maharah,16.6,51.57,400000,122500
Shabwah,14.6,45.94,651509,47728
Moklla,14.54,49.13,300000,480
Say'on,15.94,48.8,75700,504
